Rank,Term representative,Score,Frequency
1,"TNF-alpha",85.0261,63
2,"tumor necrosis factor",74.7534,71
3,"nf-kappa b",52.9267,78
4,"transcription factor",48.3744,71
5,"gene expression",27.6150,41
6,"activation of nf-kappa b",27.0991,26
7,"glucocorticoid receptors",23.5262,35
8,"protein kinase",23.3360,36
9,"human t cells",22.8261,34
10,"CBF",22.7962,22
11,"transcriptional activity",22.1807,33
12,"RA",21.0077,32
13,"GM-CSF",20.8736,20
14,"electrophoretic mobility shift assays",20.7944,16
15,"cell lines",19.4081,29
16,"human monocytes",19.1528,29
17,"binding factors",16.9388,26
18,"HIV",16.8912,17
19,"peripheral blood",15.4625,24
20,"PKC",15.3806,15
20,"PTK",15.3806,16
20,"PMA",15.3806,15
21,"tyrosine kinase",13.4297,22
22,"activator protein",13.0213,20
23,"monocytic cells",12.4766,19
23,"b cells",12.4766,19
24,"tyrosine phosphorylation",12.3506,19
25,"ICAM-1",11.9278,12
26,"cell activation",11.7340,18
27,"RAR",11.4256,12
28,"signal transducer",11.0904,17
29,"ER",10.9517,17
30,"nuclear factor",10.8593,17
31,"cbf alpha",10.8131,9
32,"erythroid cells",10.2239,16
33,"tnf-alpha release in human monocytes",9.7296,5
34,"gene transcription",9.7041,15
34,"AR",9.7041,15
35,"tnf-alpha release",9.6566,9
36,"binding site",9.5060,15
37,"RXR",9.4481,10
38,"dna binding activity",9.0109,14
39,"human t lymphocytes",8.9532,14
40,"tnf alpha mrna",8.8519,7
41,"PBL",8.7889,9
41,"PBMo",8.7889,9
42,"cell cycle",8.1791,13
43,"TF",8.0207,13
44,"jurkat cells",7.6246,12
45,"EBV",7.5091,12
46,"endothelial cells",7.4860,12
46,"IFN-gamma",7.4860,12
47,"kappa b",7.2285,12
48,"nuclear extracts",6.9315,11
48,"MDHM",6.9315,6
48,"lps-induced nf-kappab activation",6.9315,6
49,"activation of protein kinases",6.8663,8
50,"regulatory elements",6.8325,11
50,"b lymphocytes",6.8325,11
51,"ERK",6.5917,7
52,"t-cell activation",6.2383,10
52,"retinoic acid receptor alpha",6.2383,6
52,"binding activity",6.2383,10
52,"response element",6.2383,11
53,"CKII",6.2255,7
54,"transcriptional regulation",6.1393,10
55,"CTL",6.0650,10
56,"myristate acetate",5.8918,16
57,"cbf beta",5.5452,5
57,"ICER",5.5452,5
57,"protein tyrosine kinase activity",5.5452,5
57,"NRDS",5.5452,4
58,"nuclear nf-kappa b",5.4931,6
58,"nf-kappa b protein",5.4931,6
58,"activation of transcription factors",5.4931,6
